dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,21.0,[ 5  9 13 17 21 25 29 33],"[0.4081915999848262, 0.6552896396819405, 0.8052033426361581, 0.920843664618546, 1.0478970619335646, 1.173223126511136, 1.2748101702977934, 1.3587494410362353]","[0.43016784 0.62022028 0.77975881 0.92147893 1.05102437 1.17151861
 1.28491534 1.39253745]",$r$,dfa (short)
Shuffled,21.0,[ 5  9 13 17 21 25 29 33],"[0.4361915534270184, 0.7349244786454541, 0.8997339865783706, 0.9969785026570599, 1.0984131893079232, 1.1969996512447318, 1.2715454405086304, 1.3285748870332912]","[0.48479489 0.67579265 0.8318806  0.96805208 1.09083357 1.20378395
 1.30910353 1.40826802]",$r$,dfa (short)
Trace,22.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53 57 61 65 69],"[0.44550772604440725, 0.6066610129292261, 0.7244743787798812, 0.781543733124538, 0.8160812578550112, 0.8434439913710009, 0.8665035264329031, 0.8838637581343589, 0.9064405237154398, 0.9298605829097658, 0.9518127323462808, 0.9701911726458355, 0.9948636597794602, 1.017043743699885, 1.0359732081434656, 1.0591887644565057, 1.0806866741964993]","[0.50605247 0.60172433 0.67057083 0.72571587 0.7723279  0.81303394
 0.84937149 0.88232617 0.91257158 0.94059056 0.96674225 0.99130176
 1.01448497 1.03646471 1.05738176 1.0773524  1.09647396]",$r$,dfa (short)
Shuffled,22.0,[ 5  9 13 17 21 25 29 33 37 41 45 49 53 57 61 65 69],"[0.40140147779869567, 0.6710846081111801, 0.8479378015722504, 0.980540944371505, 1.0847339211182137, 1.1621262626426183, 1.2371906674726114, 1.3261848121372335, 1.4193350954175998, 1.5102213878214685, 1.6018994423491504, 1.694198171342652, 1.7812647683899228, 1.8639808885269584, 1.9442062537613074, 2.0235826408342135, 2.1041173040113272]","[0.45023488 0.63515009 0.78770876 0.92165494 1.04301603 1.15509604
 1.25994614 1.35894665 1.45308082 1.5430794  1.62950359 1.71279585
 1.79331262 1.87134619 1.94713993 2.02089911 2.09279883]",$r$,dfa (short)
Trace,23.0,[ 5  9 13 17 21 25],"[0.46770480593349373, 0.6620152952258477, 0.783657743765194, 0.8102322547843013, 0.8105642594699991, 0.7937803495759613]",[0.51178255 0.62345775 0.70539963 0.77189508 0.82865765 0.8786228 ],$r$,dfa (short)
Shuffled,23.0,[ 5  9 13 17 21 25],"[0.49051114911776306, 0.7172417273996691, 0.8686359110088149, 0.9965053052004019, 1.0892013681416015, 1.1237401852880524]",[0.51038318 0.69471863 0.84253103 0.96984692 1.08353942 1.18731733],$r$,dfa (short)
Trace,24.0,[ 5  9 13 17 21 25],"[0.48968069188721536, 0.6335148930116801, 0.6963208570429098, 0.7460974782337247, 0.7556120847837572, 0.7687914073713387]",[0.51414967 0.60586769 0.67139232 0.72362255 0.76760923 0.80590936],$r$,dfa (short)
Shuffled,24.0,[ 5  9 13 17 21 25],"[0.45509113960496506, 0.6146651341422454, 0.6868488573341648, 0.7623130941202676, 0.8090016185242145, 0.8676518359986481]",[0.46892768 0.58988676 0.6809553  0.75614377 0.82117007 0.87901398],$r$,dfa (short)
Trace,25.0,[ 5  9 13 17 21 25 29 33 37 41 45],"[0.4159683821324803, 0.6642749250689396, 0.7380650177424204, 0.7738671301795311, 0.8284030637086007, 0.8746270120729229, 0.9052864755850323, 0.9448083852811121, 0.9838964953162981, 1.0135262429181757, 1.0479875110021308]","[0.47831104 0.59452989 0.68119398 0.75228699 0.81347286 0.86768767
 0.91667636 0.96157169 1.00315623 1.04199621 1.07851631]",$r$,dfa (short)
Shuffled,25.0,[ 5  9 13 17 21 25 29 33 37 41 45],"[0.39197099312498296, 0.6499681014381214, 0.8363397050283915, 0.991948880669591, 1.0814998229599972, 1.1440751321585376, 1.2034335111446905, 1.2472884286844705, 1.2866416755690093, 1.3196916798640124, 1.3365576408369884]","[0.46078841 0.6305012  0.76715677 0.88519355 0.99082389 1.08740777
 1.17700927 1.26100546 1.34037005 1.41582205 1.48791048]",$r$,dfa (short)
