dataset,lineage_ID,slope,intercept,std_err,variable,kind
Shuffled,7.0,0.4925992932977898,-3.617928375695101,0.01182118270987487,$f_n e^{\phi_{n}}$,mean (short)
Trace,8.0,0.5390196873973012,-4.04237190402804,0.006201725683111681,$f_n e^{\phi_{n}}$,dfa (short)
Trace,8.0,0.5938653403387575,-3.801149866524074,0.00931508354854679,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,8.0,0.5784900073110277,-3.9709349229615096,0.027701317770331337,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,8.0,0.3947400460501352,-3.105335215588191,0.011164153025616104,$f_n e^{\phi_{n}}$,mean (short)
Trace,9.0,0.3642681436730011,-3.771803317409238,0.015215872496655472,$f_n e^{\phi_{n}}$,dfa (short)
Trace,9.0,0.2814114463072078,-3.438821026889462,0.012435777456166069,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,9.0,0.4972120934465219,-4.028593805219048,0.02300845778009094,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,9.0,0.518774229351362,-3.7304109462230537,0.011361917734493188,$f_n e^{\phi_{n}}$,mean (short)
Trace,10.0,0.23025316498850773,-3.5636326147490496,0.029980198103294376,$f_n e^{\phi_{n}}$,dfa (short)
Trace,10.0,0.1121854871215903,-3.069322788489492,0.016990455120433078,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,10.0,0.578987214970723,-4.314814800382578,0.008924121429497311,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,10.0,0.5049684160178172,-3.543221390342147,0.017217246170434835,$f_n e^{\phi_{n}}$,mean (short)
Trace,11.0,0.4267039179816403,-3.8894373347312863,0.02381547460105524,$f_n e^{\phi_{n}}$,dfa (short)
Trace,11.0,0.3505594451201505,-3.5124629161831753,0.010541659306925848,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,11.0,0.4699518648670653,-3.92699330254163,0.02794428124059669,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,11.0,0.4111503322267169,-3.4836920378220855,0.016147342923068655,$f_n e^{\phi_{n}}$,mean (short)
Trace,12.0,0.2271965988234872,-3.4842006820327507,0.03514366539050782,$f_n e^{\phi_{n}}$,dfa (short)
Trace,12.0,0.13189210453006525,-3.1059952781480336,0.023369378126992683,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,12.0,0.6182253119667199,-4.286946435806053,0.022599487121630703,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,12.0,0.4659916565548851,-3.5164287493966935,0.011887333014502689,$f_n e^{\phi_{n}}$,mean (short)
Trace,13.0,0.2903793351909018,-3.7657412053621986,0.019075634352010852,$f_n e^{\phi_{n}}$,dfa (short)
Trace,13.0,0.19142574975582372,-3.290511778581513,0.012637508175584436,$f_n e^{\phi_{n}}$,mean (short)
Shuffled,13.0,0.4136353861738253,-3.9010903727045263,0.028442188319748166,$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,13.0,0.3371378717867072,-3.3957888118123987,0.012225179004130006,$f_n e^{\phi_{n}}$,mean (short)
