dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,292.0,[ 5  7  9 11 13 15 17],"[0.06574679414301489, 0.09438342725458133, 0.08984679286925827, 0.09548996411708154, 0.10195076655463663, 0.10064444563219845, 0.10365206434969441]","[0.07378624 0.08196534 0.08866053 0.09439712 0.09945481 0.10400224
 0.10814979]",$\phi$,dfa (short)
Trace,292.0,[ 5  7  9 11 13 15 17],"[0.10076113118842166, 0.1089734963536807, 0.10631803601056881, 0.11181237472698642, 0.11741061456072188, 0.11704213615537284, 0.1188144815077593]","[0.10139472 0.10600661 0.10958762 0.11253366 0.11504649 0.11724359
 0.11919966]",$\phi$,mean (short)
Artificial,292.0,[ 5  7  9 11 13 15 17],"[0.06550004303362285, 0.07246706205766018, 0.08597987642147693, 0.09413474089399633, 0.10346214261198455, 0.11526884453260339, 0.12200951211650919]","[0.06315695 0.07543664 0.08614196 0.09577086 0.1046027  0.11281305
 0.12052087]",$\phi$,dfa (short)
Artificial,292.0,[ 5  7  9 11 13 15 17],"[0.10203452489794429, 0.12366076573118646, 0.1467766888561688, 0.16228483692853535, 0.17698412970565644, 0.18798796686315955, 0.1954063963420456]","[0.1038625  0.12465969 0.14286687 0.15929648 0.17440597 0.18848358
 0.20172507]",$\phi$,mean (short)
White Noise,292.0,[ 5  7  9 11 13 15 17],"[0.390795621817964, 0.4985228826948082, 0.5522023824961692, 0.5938251367693995, 0.6425132456581363, 0.6666675685405156, 0.6841504870979964]","[0.41195272 0.47878228 0.53567864 0.58592691 0.63133435 0.67301911
 0.71172899]",$\phi$,dfa (short)
White Noise,292.0,[ 5  7  9 11 13 15 17],"[0.647999305434181, 0.7564887700672379, 0.7984599455717535, 0.8297285657986085, 0.8623123584093283, 0.8728074566836318, 0.8638506037909517]","[0.67834683 0.73360225 0.77778973 0.81497624 0.84728574 0.87597918
 0.90187141]",$\phi$,mean (short)
Trace,293.0,[ 5  7  9 11 13],"[0.08398609317517894, 0.09228315821319795, 0.10198907268885665, 0.10601542519122067, 0.11653099017888345]",[0.08333682 0.09320751 0.1013354  0.1083314  0.11452243],$\phi$,dfa (short)
Trace,293.0,[ 5  7  9 11 13],"[0.13646827195286237, 0.16687710895665367, 0.18462118963710517, 0.20167270136082013, 0.21312918242590045]",[0.13926616 0.16280225 0.18294139 0.20079664 0.21698296],$\phi$,mean (short)
Artificial,293.0,[ 5  7  9 11 13],"[0.054033803989681654, 0.0642244858933711, 0.07364302680032835, 0.08738604905889263, 0.09561225924660299]",[0.05310111 0.06514366 0.07588821 0.08572658 0.0948829 ],$\phi$,dfa (short)
Artificial,293.0,[ 5  7  9 11 13],"[0.08681179317588707, 0.10722837540704237, 0.1177127245747327, 0.13313571987377135, 0.143852000905674]",[0.08781566 0.10465169 0.1193003  0.13245597 0.14450773],$\phi$,mean (short)
White Noise,293.0,[ 5  7  9 11 13],"[0.43695003244188285, 0.594113490765153, 0.6655170768762756, 0.7049283220590639, 0.7311228699788292]",[0.46486855 0.55542385 0.63439016 0.7054309  0.77060198],$\phi$,dfa (short)
White Noise,293.0,[ 5  7  9 11 13],"[0.8419829307386248, 0.9303715336976653, 1.0475253902227566, 1.1085403861342662, 1.1315736853432243]",[0.84418456 0.94276512 1.02383474 1.09354498 1.15518408],$\phi$,mean (short)
