index division length width area intensity CMx CMy
249 0 55.0308 11.9388 657 152.05 644.709 488.268
250 0 57.0372 12.3253 703 158.919 645.166 487.984
251 0 58.0643 12.3484 717 155.745 642.736 486.752
252 0 58.1896 12.6483 736 154.095 644.033 486.698
253 0 61.0695 12.6086 770 156.556 643.195 485.799
254 0 62.1167 12.718 790 159.939 644.582 485.071
255 0 63.1675 13.1872 833 166.558 643.45 483.897
256 0 66.1569 12.7878 846 163.13 644.995 483.163
257 0 68.1629 12.9543 883 168.702 643.444 482.041
258 0 71.1529 13.0986 932 165.003 643.471 481.405
259 0 73.1659 13.0115 952 87.6712 644.945 479.965
260 0 75.197 12.9925 977 172.965 643.123 478.997
261 0 76.1742 13.1015 998 170.003 642.673 477.761
262 0 79.1274 13.017 1030 163.309 643.001 475.8
263 0 82.1893 13.0431 1072 164.372 645.816 475.225
264 0 85.1802 13.0429 1111 164.824 646.158 473.778
265 0 88.1936 13.3003 1173 165.789 641.905 472.289
266 0 91.2545 13.0295 1189 164.103 642.051 470.236
267 0 93.2061 13.1107 1222 159.079 642.897 468.677
268 1 50.0452 11.9492 598 156.333 643.191 489.806
269 0 52.1073 11.9177 621 152.786 643.667 489.824
270 0 53.068 12.2107 648 158.238 643.233 489.877
271 0 54.0777 12.4266 672 154.406 643.969 488.876
272 0 55.0726 12.4381 685 141.409 642.74 487.753
273 0 56.1189 12.5092 702 155.922 643.644 487.285
274 0 57.1079 12.9579 740 155.239 645.582 486.714
275 0 61.1923 12.5996 771 156.458 642.433 485.337
276 0 61.0349 12.8779 786 154.477 641.184 484.548
277 0 62.0816 13.0151 808 155.016 642.446 483.932
278 0 63.0955 13.2973 839 155.98 643.504 483.167
279 0 67.0748 13.388 898 156.37 642.85 482.484
280 0 67.0943 13.25 889 158.397 643.345 482.295
281 0 68.1851 13.434 916 153.225 644.027 481.347
282 0 74.1428 13.2447 982 157.4 642.689 480.192
283 0 76.0737 13.0005 989 154.636 642.511 479.81
284 0 77.257 13.2286 1022 158.477 643.346 478.949
285 0 81.245 13.01 1057 153.986 643.439 477.228
286 0 82.1297 13.223 1086 157.508 642.848 477.076
287 0 86.1793 13.1238 1131 159.609 642.463 475.615
288 0 90.2843 12.9258 1167 160.243 643.909 474.211
289 1 46.0417 11.6416 536 164.918 641.937 496.293
290 0 47.1018 12.2925 579 154.337 643.244 494.902
291 0 50.0533 12.3069 616 162.706 641.907 493.748
292 0 49.1311 12.375 608 165.988 643.857 493.492
293 0 52.0679 12.4837 650 165.063 643.877 491.88
294 0 53.047 12.1967 647 167.318 643.906 491.824
295 0 54.0887 12.4425 673 168.196 640.906 491.446
296 0 57.1283 12.4632 712 166.213 640.999 489.882
297 0 59.0424 12.4148 733 163.105 641.161 489.775
298 0 61.0375 12.6152 770 169.751 640.942 487.666
299 0 63.1151 12.4376 785 168.154 640.939 486.707
300 0 64.0986 12.3404 791 165.004 642.829 486.254
301 0 67.2442 12.5661 845 166.191 642.673 484.992
302 0 67.2217 13.091 880 158.097 643.428 484.027
303 0 70.2166 12.8175 900 167.051 641.783 482.761
304 0 74.3716 12.4106 923 162.934 641.726 481.634
305 0 76.4551 12.5433 959 161.544 642.437 479.096
306 0 79.2783 12.2606 972 158.816 642.813 478.23
307 0 82.3593 12.5183 1031 161.676 641.076 476.332
308 0 86.3717 12.2031 1054 157.78 641.397 475.122
309 1 43.0975 11.0911 478 157.462 643.914 496.025
310 0 45.0752 11.1813 504 157.339 642.821 495.427
311 0 46.1148 11.6665 538 158.123 642.052 494.593
312 0 46.1466 11.7235 541 154.767 643.198 494.004
313 0 47.0204 11.8672 558 152.161 642.812 493.097
314 0 50.0309 11.8727 594 149.291 643.53 491.689
315 0 51.1272 12.0288 615 152.415 643.098 491.455
316 0 53.1228 11.9158 633 153.18 642.341 490.807
317 0 56.1895 12.2443 688 154.25 641.892 489.863
318 0 56.1164 12.0642 677 148.374 641.254 488.455
319 0 57.418 12.0346 691 158.521 644.389 488.323
320 0 58.085 12.5334 728 148.562 644.681 487.33
321 0 60.1485 12.1533 731 152.01 643.713 486.587
322 0 62.1951 12.5894 783 154.388 644.462 485.192
323 0 65.2363 12.677 827 148.511 644.6 484.125
324 0 66.0631 12.7757 844 156.773 643.63 483.008
325 0 67.1224 12.872 864 157.126 643.154 482.05
326 0 70.2038 13.005 913 157.054 641.586 480.582
327 0 71.182 12.9808 924 155.724 640.762 479.287
328 0 74.1724 12.8889 956 153.734 644.57 478.579
329 0 77.2028 12.9399 999 156.382 643.486 476.732
330 0 80.1655 13.1353 1053 153.634 643.496 475.17
331 0 81.1498 13.0746 1061 157.317 644.474 474.481
332 0 85.1495 13.2121 1125 151.616 644.251 472.683
333 0 87.1024 13.3406 1162 150.217 645.729 471.931
334 0 89.1669 13.2224 1179 155.427 645.377 470.698
335 1 45.0975 11.4419 516 150.653 644.463 492.374
336 0 47.2312 12.026 568 151.741 643.387 491.255
337 0 48.1972 12.0754 582 146.581 646.509 490.72
338 0 49.2694 12.32 607 153.39 646.944 489.82
339 0 51.1931 12.0329 616 152.45 648.008 489.687
340 0 53.0949 12.4871 663 148.421 647.125 488.701
341 0 53.112 12.6713 673 157.201 645.25 487.697
342 0 53.0756 13.0568 693 152.482 646.739 486.945
343 0 54.1356 13.4847 730 148.897 646.088 486.504
344 0 57.0529 13.0405 744 154.298 644.46 485.012
345 0 60.0398 12.6583 760 157.034 646.575 485.034
346 0 60.1192 13.1239 789 154.175 645.747 483.957
347 0 63.0866 13.0297 822 152.751 643.609 482.957
348 0 65.0721 12.8166 834 153.06 643.487 482.187
349 0 65.0603 13.4644 876 151.675 643.142 480.638
350 0 67.0536 13.0791 877 153.164 644.116 479.945
351 0 71.1165 13.2599 943 153.461 643.298 478.881
