time,length,lineage_ID,filename
12.4,5.500018947,2,pos17-3
14.6,4.421747744,2,pos17-3
12.0,3.132949736,2,pos17-3
17.6,8.043739371000001,2,pos17-3
12.1,3.8504530189999997,2,pos17-3
12.2,4.232934159,2,pos17-3
12.3,4.624731013,2,pos17-3
12.5,6.372315657000001,2,pos17-3
12.6,7.440073925,2,pos17-3
12.7,8.447244826,2,pos17-3
12.8,9.152541421,2,pos17-3
12.9,5.7427275579999995,2,pos17-3
13.0,5.761179747000001,2,pos17-3
13.1,7.120455362,2,pos17-3
14.7,4.997872287,2,pos17-3
13.2,3.799553958,2,pos17-3
13.4,4.9217745719999995,2,pos17-3
13.5,5.225681933,2,pos17-3
13.6,5.981637015,2,pos17-3
13.7,6.6790416960000005,2,pos17-3
13.8,3.8599278260000003,2,pos17-3
13.9,3.7480422,2,pos17-3
14.0,4.151108918,2,pos17-3
14.1,4.866346695,2,pos17-3
14.2,5.564802672999999,2,pos17-3
14.3,3.029054341,2,pos17-3
14.4,3.578175192,2,pos17-3
14.5,3.995892371,2,pos17-3
13.3,4.050090141,2,pos17-3
17.7,4.5595158730000005,2,pos17-3
22.9,5.927601291,2,pos17-3
17.9,5.874755448999999,2,pos17-3
21.1,5.179266053,2,pos17-3
21.2,5.742916342999999,2,pos17-3
21.3,6.59334107,2,pos17-3
21.4,7.5165990570000005,2,pos17-3
21.5,4.117681457,2,pos17-3
21.6,4.356042228,2,pos17-3
21.7,5.134204387,2,pos17-3
21.8,5.756712702000001,2,pos17-3
21.9,6.1837117070000005,2,pos17-3
22.0,7.516853537,2,pos17-3
22.1,4.633709689,2,pos17-3
22.2,4.60835367,2,pos17-3
21.0,5.443437959,2,pos17-3
22.3,5.340007506,2,pos17-3
22.5,3.595737897,2,pos17-3
22.6,4.170384591,2,pos17-3
22.7,4.3821362210000006,2,pos17-3
22.8,4.915351858,2,pos17-3
23.0,6.81871208,2,pos17-3
23.1,3.658774265,2,pos17-3
23.2,3.99237016,2,pos17-3
23.3,4.748794124,2,pos17-3
23.4,5.610863357,2,pos17-3
23.5,6.310333085,2,pos17-3
23.6,7.004604241,2,pos17-3
11.9,5.862663509,2,pos17-3
22.4,6.15275628,2,pos17-3
17.8,4.655512677,2,pos17-3
20.9,7.848726499,2,pos17-3
20.7,6.3880979579999995,2,pos17-3
18.0,6.570855422,2,pos17-3
18.1,7.534939156,2,pos17-3
18.2,4.0613403439999995,2,pos17-3
18.3,4.610359504,2,pos17-3
18.4,5.101872265,2,pos17-3
18.5,5.656360887999999,2,pos17-3
18.6,6.265875997999999,2,pos17-3
18.7,7.038701334,2,pos17-3
18.8,7.6237716429999995,2,pos17-3
18.9,7.664487029,2,pos17-3
19.0,5.045443672,2,pos17-3
19.1,5.650379628,2,pos17-3
20.8,6.86463078,2,pos17-3
19.2,6.156486916,2,pos17-3
19.4,7.637858367000001,2,pos17-3
19.5,7.7769190539999995,2,pos17-3
19.6,4.611890391,2,pos17-3
19.7,6.553129726,2,pos17-3
19.8,7.101756281,2,pos17-3
19.9,4.261930559,2,pos17-3
20.0,4.655086871,2,pos17-3
20.1,5.66262117,2,pos17-3
20.2,6.286275524,2,pos17-3
20.4,6.059105595,2,pos17-3
20.5,4.474784675,2,pos17-3
20.6,5.355345089,2,pos17-3
19.3,7.1318681139999995,2,pos17-3
11.8,4.927625518,2,pos17-3
5.6,4.372118674,2,pos17-3
