distance,correlations,dataset,old_var,young_var
4.0,0.044194283123788716,physical units,fold_growth,generationtime
4.0,0.02202231474873674,physical units,fold_growth,length_birth
4.0,0.03998865972356366,physical units,fold_growth,length_final
4.0,-0.0423199244459407,physical units,fold_growth,growth_rate
4.0,-0.07216820955648127,physical units,division_ratio,fold_growth
4.0,0.08483416087170838,physical units,division_ratio,division_ratio
4.0,-0.03841834926658459,physical units,division_ratio,added_length
4.0,-0.061289830843984046,physical units,division_ratio,generationtime
4.0,0.047261115689242045,physical units,division_ratio,length_birth
4.0,-0.006458220581888847,physical units,division_ratio,length_final
4.0,-0.01104979850941225,physical units,division_ratio,growth_rate
4.0,-0.012509523366057722,physical units,added_length,fold_growth
4.0,-0.020736647313203377,physical units,added_length,division_ratio
4.0,0.10708599098773333,physical units,added_length,added_length
4.0,0.0547303543135427,physical units,added_length,generationtime
4.0,0.20553509303989603,physical units,added_length,length_birth
4.0,0.1976980944382615,physical units,added_length,length_final
4.0,-0.10291630468284083,physical units,added_length,growth_rate
4.0,0.0404051323365843,physical units,generationtime,fold_growth
4.0,-0.08030107264250182,physical units,generationtime,division_ratio
4.0,0.08176501097021681,physical units,generationtime,added_length
4.0,0.22450069698097053,physical units,generationtime,generationtime
4.0,0.0673510242012254,physical units,generationtime,length_birth
4.0,0.1032210067504881,physical units,generationtime,length_final
4.0,-0.28837955330862036,physical units,generationtime,growth_rate
4.0,-0.05114470685230447,physical units,length_birth,fold_growth
4.0,0.026562134484764577,physical units,length_birth,division_ratio
4.0,0.11117529617308669,physical units,length_birth,added_length
4.0,0.022101957330020724,physical units,length_birth,generationtime
4.0,0.281332519497482,physical units,length_birth,length_birth
4.0,0.24145058440838083,physical units,length_birth,length_final
4.0,-0.10765237224846173,physical units,length_birth,growth_rate
4.0,-0.03777042733486848,physical units,length_final,fold_growth
4.0,-0.002379676845149069,physical units,length_final,division_ratio
4.0,0.1466311850697265,physical units,length_final,added_length
4.0,0.05616047257885082,physical units,length_final,generationtime
4.0,0.3181929003795121,physical units,length_final,length_birth
4.0,0.2902889679839939,physical units,length_final,length_final
4.0,-0.14135769988356456,physical units,length_final,growth_rate
4.0,-0.03240723075702454,physical units,growth_rate,fold_growth
4.0,0.06738730543707724,physical units,growth_rate,division_ratio
4.0,-0.07927835222005805,physical units,growth_rate,added_length
4.0,-0.2808343973144046,physical units,growth_rate,generationtime
4.0,-0.08041098471160979,physical units,growth_rate,length_birth
4.0,-0.1081314883437941,physical units,growth_rate,length_final
4.0,0.38659597968903864,physical units,growth_rate,growth_rate
5.0,0.004205284183090633,physical units,fold_growth,fold_growth
5.0,-0.013610087030445844,physical units,fold_growth,division_ratio
5.0,0.01148492352881841,physical units,fold_growth,added_length
5.0,0.03251202541366331,physical units,fold_growth,generationtime
5.0,0.016489740173103357,physical units,fold_growth,length_birth
5.0,0.018299707669430083,physical units,fold_growth,length_final
5.0,-0.04050239869482996,physical units,fold_growth,growth_rate
5.0,-0.0642055735763275,physical units,division_ratio,fold_growth
5.0,0.06260568801859696,physical units,division_ratio,division_ratio
5.0,-0.03698674086038734,physical units,division_ratio,added_length
5.0,-0.07685756951344466,physical units,division_ratio,generationtime
5.0,0.032882137805416496,physical units,division_ratio,length_birth
5.0,-0.012782544599137378,physical units,division_ratio,length_final
5.0,0.032411769180947625,physical units,division_ratio,growth_rate
5.0,-0.022844779117624028,physical units,added_length,fold_growth
5.0,-0.006909562542652405,physical units,added_length,division_ratio
5.0,0.08062741342325021,physical units,added_length,added_length
5.0,0.04390612514900608,physical units,added_length,generationtime
5.0,0.18166756678494828,physical units,added_length,length_birth
5.0,0.16384174092064135,physical units,added_length,length_final
5.0,-0.09783801204913489,physical units,added_length,growth_rate
5.0,0.02798962732251343,physical units,generationtime,fold_growth
5.0,-0.05435241209566814,physical units,generationtime,division_ratio
5.0,0.06331886664389808,physical units,generationtime,added_length
5.0,0.2104534467424731,physical units,generationtime,generationtime
5.0,0.059737861904518345,physical units,generationtime,length_birth
5.0,0.0841586701253243,physical units,generationtime,length_final
5.0,-0.27642213372289565,physical units,generationtime,growth_rate
5.0,-0.022265139919214128,physical units,length_birth,fold_growth
5.0,0.008602889953153873,physical units,length_birth,division_ratio
5.0,0.12270003992570912,physical units,length_birth,added_length
5.0,0.032965364749577473,physical units,length_birth,generationtime
5.0,0.25199748843875924,physical units,length_birth,length_birth
5.0,0.23620490424615692,physical units,length_birth,length_final
5.0,-0.08729576648504841,physical units,length_birth,growth_rate
5.0,-0.03041269094944091,physical units,length_final,fold_growth
5.0,-0.0009210875700732322,physical units,length_final,division_ratio
5.0,0.13114794817734,physical units,length_final,added_length
5.0,0.053147660061141994,physical units,length_final,generationtime
5.0,0.2822942753526939,physical units,length_final,length_birth
5.0,0.25941642971438444,physical units,length_final,length_final
5.0,-0.12589945925905602,physical units,length_final,growth_rate
5.0,-0.034216836037043945,physical units,growth_rate,fold_growth
5.0,0.06114026355202813,physical units,growth_rate,division_ratio
5.0,-0.07940901637454995,physical units,growth_rate,added_length
5.0,-0.2720178323835033,physical units,growth_rate,generationtime
5.0,-0.0709241722723176,physical units,growth_rate,length_birth
5.0,-0.1034008940136536,physical units,growth_rate,length_final
5.0,0.36962958484005676,physical units,growth_rate,growth_rate
6.0,0.009072951470549538,physical units,fold_growth,fold_growth
6.0,-0.022458155191758172,physical units,fold_growth,division_ratio
6.0,0.014776428869046601,physical units,fold_growth,added_length
6.0,0.04085727947177821,physical units,fold_growth,generationtime
6.0,0.0099192160093593,physical units,fold_growth,length_birth
6.0,0.017477898693785365,physical units,fold_growth,length_final
6.0,-0.05239555630441787,physical units,fold_growth,growth_rate
6.0,-0.03187415652432547,physical units,division_ratio,fold_growth
6.0,0.08133585553409849,physical units,division_ratio,division_ratio
