variable_a,variable_b,AB_parameter_pair,covariance,correlation,kind,cov difference between data and modeldataset,generation,corr difference between data and model,cov difference between data and model,dataset
fold_growth,added_length,"$\phi$, $\Delta$",0.011925128458914849,0.09922154624446647,physical_units,,3,0.0,0.0,SP
fold_growth,added_length,"$\delta \phi$, $\delta \Delta$",0.011002192592992479,0.09154237331003703,trace_centered,,3,0.0,0.0,SP
fold_growth,added_length,"$\overline{\phi}$, $\overline{\Delta}$",0.0009229358659223703,0.007679172934429441,time_averages,,3,0.0,0.0,SP
fold_growth,added_length,"$\phi$, $\Delta$",0.011925128458914849,0.09922154624446647,model,,3,0.0,0.0,SP
fold_growth,added_length,"$\phi$, $\Delta$",0.001937745509474693,0.016122770194112117,physical_units,,4,3.469446951953614e-18,2.168404344971009e-19,SP
fold_growth,added_length,"$\delta \phi$, $\delta \Delta$",0.0010148096435523227,0.008443597259682677,trace_centered,,4,3.469446951953614e-18,2.168404344971009e-19,SP
fold_growth,added_length,"$\overline{\phi}$, $\overline{\Delta}$",0.0009229358659223703,0.007679172934429441,time_averages,,4,3.469446951953614e-18,2.168404344971009e-19,SP
fold_growth,added_length,"$\phi$, $\Delta$",0.0019377455094746932,0.01612277019411212,model,,4,3.469446951953614e-18,2.168404344971009e-19,SP
fold_growth,added_length,"$\phi$, $\Delta$",-0.0012265905928851625,-0.010205694274429427,physical_units,,5,0.0,0.0,SP
fold_growth,added_length,"$\delta \phi$, $\delta \Delta$",-0.002149526458807533,-0.01788486720885887,trace_centered,,5,0.0,0.0,SP
fold_growth,added_length,"$\overline{\phi}$, $\overline{\Delta}$",0.0009229358659223703,0.007679172934429441,time_averages,,5,0.0,0.0,SP
fold_growth,added_length,"$\phi$, $\Delta$",-0.0012265905928851625,-0.010205694274429427,model,,5,0.0,0.0,SP
fold_growth,generationtime,"$\phi$, $\tau$",0.011070692653988298,0.5774648712960632,physical_units,,0,0.0,0.0,SP
fold_growth,generationtime,"$\delta \phi$, $\delta \tau$",0.010363006324760412,0.5405508309737226,trace_centered,,0,0.0,0.0,SP
fold_growth,generationtime,"$\overline{\phi}$, $\overline{\tau}$",0.0007076863292278856,0.03691404032234064,time_averages,,0,0.0,0.0,SP
