value,variable,trap_ID,dataset
0.031198828100347,fold_growth,210,CTRL
0.0022764336383049033,fold_growth,211,CTRL
0.0021386205434669597,fold_growth,211,CTRL
0.12251821430563059,fold_growth,212,CTRL
0.08132089607532134,fold_growth,212,CTRL
0.23962098343787497,fold_growth,213,CTRL
0.5232297542788591,fold_growth,213,CTRL
0.9513154990710241,fold_growth,214,CTRL
0.352860253514122,fold_growth,214,CTRL
0.1879485192558646,division_ratio,130,CTRL
0.11327706898201506,division_ratio,130,CTRL
0.11714676217098424,division_ratio,131,CTRL
0.07830967732524813,division_ratio,131,CTRL
0.06010063006087567,division_ratio,132,CTRL
0.04847627748088375,division_ratio,132,CTRL
0.13252830518216166,division_ratio,133,CTRL
0.1868770071956121,division_ratio,133,CTRL
0.07426033549357108,division_ratio,134,CTRL
0.11050774945538122,division_ratio,134,CTRL
0.10926685982789411,division_ratio,135,CTRL
0.08897634693894753,division_ratio,135,CTRL
0.4528630209957205,division_ratio,136,CTRL
1.0416360571059187,division_ratio,136,CTRL
0.8687541947113093,division_ratio,137,CTRL
0.3333556597759204,division_ratio,137,CTRL
0.10195539455000074,division_ratio,138,CTRL
0.13537441536761965,division_ratio,138,CTRL
0.38556107810141754,division_ratio,139,CTRL
0.7741501026303195,division_ratio,139,CTRL
0.3209752441237966,division_ratio,140,CTRL
0.18160395757768233,division_ratio,140,CTRL
0.056130294029383965,division_ratio,141,CTRL
0.07793300152601554,division_ratio,141,CTRL
0.025428713989459374,division_ratio,142,CTRL
0.023062047238427544,division_ratio,142,CTRL
0.10612240895035413,division_ratio,143,CTRL
0.1617431738335029,division_ratio,143,CTRL
0.4280060782987044,division_ratio,144,CTRL
0.888906259428049,division_ratio,144,CTRL
1.341594365364541,division_ratio,145,CTRL
0.530186360150107,division_ratio,145,CTRL
0.5783604284285377,division_ratio,146,CTRL
2.1535534878235243,division_ratio,146,CTRL
0.540445581050022,division_ratio,147,CTRL
1.9995994786126259,division_ratio,147,CTRL
0.06404324643123463,division_ratio,148,CTRL
0.06448223656956863,division_ratio,148,CTRL
0.20254488712719287,division_ratio,149,CTRL
0.12004523656497956,division_ratio,149,CTRL
0.11103536346604936,division_ratio,150,CTRL
0.18003002139994984,division_ratio,150,CTRL
0.19911559677412694,division_ratio,151,CTRL
0.11847846487072322,division_ratio,151,CTRL
0.056448990630189655,division_ratio,152,CTRL
0.07931845776730209,division_ratio,152,CTRL
0.3921799303481463,division_ratio,153,CTRL
0.20082222788598153,division_ratio,153,CTRL
0.06787556201727776,division_ratio,154,CTRL
0.09047360274313068,division_ratio,154,CTRL
0.27915132975522045,division_ratio,155,CTRL
0.41795226672000463,division_ratio,155,CTRL
0.6932118804293472,division_ratio,156,CTRL
0.3475939533985485,division_ratio,156,CTRL
0.894257085051525,division_ratio,157,CTRL
0.8919886955903887,division_ratio,157,CTRL
0.011459194462571723,division_ratio,158,CTRL
0.013285254817410927,division_ratio,158,CTRL
0.21193258447417695,division_ratio,159,CTRL
0.4386464838069042,division_ratio,159,CTRL
0.29870709426504205,division_ratio,160,CTRL
0.19905029095365193,division_ratio,160,CTRL
0.1325193565457235,division_ratio,161,CTRL
0.1611429271804446,division_ratio,161,CTRL
0.04038309561043675,division_ratio,162,CTRL
0.043127980066193214,division_ratio,162,CTRL
0.058322473239947964,division_ratio,163,CTRL
0.043434798027780885,division_ratio,163,CTRL
0.13940104623104516,division_ratio,164,CTRL
0.19406706263834378,division_ratio,164,CTRL
0.44757848455465493,division_ratio,165,CTRL
1.096572880781887,division_ratio,165,CTRL
0.1471884364554502,division_ratio,166,CTRL
0.09690905117346998,division_ratio,166,CTRL
0.1887647594370454,division_ratio,167,CTRL
0.3538184820599519,division_ratio,167,CTRL
0.02804096353464952,division_ratio,168,CTRL
0.03550129248435405,division_ratio,168,CTRL
0.2740030686556423,division_ratio,169,CTRL
0.6404027758462663,division_ratio,169,CTRL
2.8757631522154923,division_ratio,170,CTRL
0.6513157596916535,division_ratio,170,CTRL
0.7922209329444446,division_ratio,171,CTRL
1.1541397058111844,division_ratio,171,CTRL
0.07109081069498771,division_ratio,172,CTRL
0.051273497060163514,division_ratio,172,CTRL
0.2150825231902913,division_ratio,173,CTRL
0.1275883117977087,division_ratio,173,CTRL
0.024999107715282774,division_ratio,174,CTRL
0.02445310031118654,division_ratio,174,CTRL
0.0008399980537853076,division_ratio,175,CTRL
