dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,4.0,[5 7 9],"[0.3724732512671755, 0.5470183551851248, 0.7119773451596739]",[0.37389345 0.54217106 0.71561425],$x_0$,dfa (short)
Shuffled,4.0,[5 7 9],"[0.3435976681958204, 0.5842343670646244, 0.6098792244304835]",[0.36385468 0.51097749 0.65849338],$x_0$,dfa (short)
Trace,5.0,[ 5  7  9 11],"[0.2884838537245269, 0.39964427600385805, 0.6102982393404217, 0.7260268620551015]",[0.28237075 0.42522027 0.57731154 0.73696357],$x_0$,dfa (short)
Shuffled,5.0,[ 5  7  9 11],"[0.45185393142885866, 0.5978197466967037, 0.6409881363634821, 0.7593819270683364]",[0.4606227  0.56858415 0.66542515 0.75446531],$x_0$,dfa (short)
Trace,1.0,[ 5  7  9 11],"[0.3714219363594993, 0.5384945542346424, 0.6138648170689301, 0.7407405581800521]",[0.38168684 0.50799437 0.62891077 0.74581759],$x_\tau$,dfa (short)
Shuffled,1.0,[ 5  7  9 11],"[0.4895578619021824, 0.6453813488175635, 0.7207344094183163, 0.8253066016585185]",[0.49908875 0.6204856  0.73005398 0.83127851],$x_\tau$,dfa (short)
Trace,2.0,[5 7 9],"[0.4484035817444664, 0.549087736296176, 0.5803248306252466]",[0.4554308  0.52947657 0.5925334 ],$x_\tau$,dfa (short)
Shuffled,2.0,[5 7 9],"[0.544432759739723, 0.6147947385341617, 0.6873947932149534]",[0.5425976  0.61966902 0.68429438],$x_\tau$,dfa (short)
Trace,3.0,[5 7 9],"[0.5011899060090768, 0.6841093380012019, 0.8225081658982804]",[0.50511526 0.67173983 0.83114437],$x_\tau$,dfa (short)
Shuffled,3.0,[5 7 9],"[0.6480910999137982, 0.6512298137611999, 0.7767044584360102]",[0.63021808 0.69524852 0.74816123],$x_\tau$,dfa (short)
Trace,4.0,[5 7 9],"[0.5082574816345229, 0.5775554494678939, 0.7519242768488813]",[0.49457924 0.61560783 0.72495584],$x_\tau$,dfa (short)
Shuffled,4.0,[5 7 9],"[0.39629079017492436, 0.5276999186608221, 0.620619090773669]",[0.39962518 0.51745937 0.62762037],$x_\tau$,dfa (short)
