variable_a,variable_b,AB_parameter_pair,covariance,correlation,kind,correlation error of average from theory,dataset,corr difference between data and model,cov difference between data and model
growth_rate,growth_rate,$\alpha$,0.012754155484752233,0.32429031176502293,model,,NL,0.0006790873819140231,2.6708124610705722e-05
fold_growth,fold_growth,$\phi$,0.00020534513280764136,0.011649831717947158,physical_units,,CTRL,0.00013144776803097023,2.31695702024648e-06
fold_growth,fold_growth,$\delta \phi$,0.00018885719518478444,0.010714422652945229,trace_centered,,CTRL,0.00013144776803097023,2.31695702024648e-06
fold_growth,fold_growth,$\overline{\phi}$,1.8804894643103386e-05,0.0010668568330328995,time_averages,,CTRL,0.00013144776803097023,2.31695702024648e-06
fold_growth,fold_growth,$\phi$,0.00020766208982788784,0.011781279485978128,model,,CTRL,0.00013144776803097023,2.31695702024648e-06
division_ratio,division_ratio,$f$,2.1162954357136543e-05,0.018654850915924587,physical_units,,CTRL,0.0004192228558991193,4.7558644155595896e-07
division_ratio,division_ratio,$\delta f$,-6.6352439340061375e-06,-0.0058488755535182025,trace_centered,,CTRL,0.0004192228558991193,4.7558644155595896e-07
division_ratio,division_ratio,$\overline{f}$,2.827378473269864e-05,0.02492294932534191,time_averages,,CTRL,0.0004192228558991193,4.7558644155595896e-07
division_ratio,division_ratio,$f$,2.16385407986925e-05,0.019074073771823706,model,,CTRL,0.0004192228558991193,4.7558644155595896e-07
added_length,added_length,$\Delta$,-0.005648305007156704,-0.016865815447331713,physical_units,,CTRL,0.0012030959170223655,0.0004029127861281262
added_length,added_length,$\delta \Delta$,-0.0021137870897531955,-0.00631175952884244,trace_centered,,CTRL,0.0012030959170223655,0.0004029127861281262
added_length,added_length,$\overline{\Delta}$,-0.0031316051312753825,-0.009350960001466908,time_averages,,CTRL,0.0012030959170223655,0.0004029127861281262
added_length,added_length,$\Delta$,-0.005245392221028578,-0.015662719530309347,model,,CTRL,0.0012030959170223655,0.0004029127861281262
generationtime,generationtime,$\tau$,-5.479837778742036e-05,-0.0031959113723983553,physical_units,,CTRL,0.0001864854831370652,3.197554864966619e-06
generationtime,generationtime,$\delta \tau$,0.0002421926064320337,0.014124982097273375,trace_centered,,CTRL,0.0001864854831370652,3.197554864966619e-06
generationtime,generationtime,$\overline{\tau}$,-0.00029379342935448744,-0.017134407986534664,time_averages,,CTRL,0.0001864854831370652,3.197554864966619e-06
generationtime,generationtime,$\tau$,-5.160082292245374e-05,-0.00300942588926129,model,,CTRL,0.0001864854831370652,3.197554864966619e-06
length_birth,length_birth,$x_0$,0.01019014829735503,0.04614749214015399,physical_units,,CTRL,0.002366446694966093,0.0005225515329468494
length_birth,length_birth,$\delta x_0$,0.007221747131599286,0.032704678015349445,trace_centered,,CTRL,0.002366446694966093,0.0005225515329468494
length_birth,length_birth,$\overline{x_0}$,0.003490952698702594,0.015809260819770632,time_averages,,CTRL,0.002366446694966093,0.0005225515329468494
length_birth,length_birth,$x_0$,0.01071269983030188,0.048513938835120084,model,,CTRL,0.002366446694966093,0.0005225515329468494
length_final,length_final,$x_\tau$,0.02824576523915882,0.03631574978143606,physical_units,,CTRL,0.0008686125382077262,0.0006755918846689211
length_final,length_final,$\delta x_\tau$,0.01610170390733161,0.020702057289025327,trace_centered,,CTRL,0.0008686125382077262,0.0006755918846689211
length_final,length_final,$\overline{x_\tau}$,0.012819653216496132,0.016482305030618462,time_averages,,CTRL,0.0008686125382077262,0.0006755918846689211
length_final,length_final,$x_\tau$,0.02892135712382774,0.03718436231964379,model,,CTRL,0.0008686125382077262,0.0006755918846689211
growth_rate,growth_rate,$\alpha$,0.0014021901360911839,0.031233326929767078,physical_units,,CTRL,-0.00030603742992682884,-1.373925571499456e-05
growth_rate,growth_rate,$\delta \alpha$,0.0016215145562203687,0.03611870669479129,trace_centered,,CTRL,-0.00030603742992682884,-1.373925571499456e-05
growth_rate,growth_rate,$\overline{\alpha}$,-0.0002330636758441795,-0.005191417194951043,time_averages,,CTRL,-0.00030603742992682884,-1.373925571499456e-05
growth_rate,growth_rate,$\alpha$,0.0013884508803761893,0.03092728949984025,model,,CTRL,-0.00030603742992682884,-1.373925571499456e-05
