dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,79.0,[ 5  9 13 17 21],"[0.48651018308187827, 0.6580098231793509, 0.7204875104304028, 0.7426040211074596, 0.7528921322393846]",[0.51407735 0.6147551  0.6875361  0.74601151 0.79555312],$\tau$,dfa (short)
Shuffled,79.0,[ 5  9 13 17 21],"[0.47900178452447545, 0.716680237846731, 0.9510847384062925, 1.144237784438252, 1.3046933962179417]",[0.47841296 0.72458558 0.93946099 1.13543182 1.31817808],$\tau$,dfa (short)
Trace,80.0,[ 5  9 13 17 21],"[0.46648824176699233, 0.7020089531002477, 0.7575155277595056, 0.7687526494812282, 0.8019257456541358]",[0.50625756 0.62669982 0.71621938 0.78949357 0.85245197],$\tau$,dfa (short)
Shuffled,80.0,[ 5  9 13 17 21],"[0.515305097526905, 0.6778587749049559, 0.7890914365228626, 0.9095649437954507, 0.9595572505846783]",[0.51877896 0.67261846 0.79127786 0.89084959 0.9780275 ],$\tau$,dfa (short)
Trace,83.0,[ 5  9 13 17 21 25],"[0.41125174029388023, 0.6163840018824565, 0.768459877099106, 0.9105511368358736, 1.0160988915496227, 1.0888827951568962]",[0.42160633 0.60395272 0.75623703 0.89104488 1.01394867 1.12802365],$\tau$,dfa (short)
Shuffled,83.0,[ 5  9 13 17 21 25],"[0.4867907336037146, 0.6946803824209435, 0.7778433420824029, 0.8710000393184867, 0.90583640603292, 0.91498725101697]",[0.51734567 0.65237622 0.75423694 0.83844554 0.91134475 0.97624352],$\tau$,dfa (short)
Trace,84.0,[ 5  9 13 17 21],"[0.44848312941517054, 0.6436214287885946, 0.7685885256786461, 0.8332251765875528, 0.8676851356737665]",[0.46805535 0.61618589 0.73184412 0.82969602 0.9159009 ],$\tau$,dfa (short)
Shuffled,84.0,[ 5  9 13 17 21],"[0.48649646521252815, 0.7249624469245579, 0.8908811638497223, 0.9837786349289799, 1.0380707796144617]",[0.50730871 0.69558305 0.84743311 0.97873877 1.09634138],$\tau$,dfa (short)
Trace,85.0,[ 5  9 13 17],"[0.42376674665806746, 0.581583696072136, 0.6430140146421678, 0.7350044272825073]",[0.43104682 0.5581043  0.6559988  0.73808543],$\tau$,dfa (short)
Shuffled,85.0,[ 5  9 13 17],"[0.4616660979203016, 0.6800228106326215, 0.876020940025675, 0.9218601440777784]",[0.47186058 0.66738001 0.82901924 0.97113474],$\tau$,dfa (short)
Trace,86.0,[ 5  9 13 17],"[0.48687163032613157, 0.614606590618955, 0.6306992052859334, 0.6506665470918879]",[0.50295864 0.5776451  0.62990962 0.67099741],$\tau$,dfa (short)
Shuffled,86.0,[ 5  9 13 17],"[0.46071296043809656, 0.6457456205732482, 0.8053102522466888, 0.9358226683966641]",[0.46036878 0.64777488 0.80207203 0.9373577 ],$\tau$,dfa (short)
Trace,89.0,[ 5  9 13],"[0.46652847551798216, 0.7567897675371144, 0.8994496649595297]",[0.47602599 0.71817844 0.92889632],$\tau$,dfa (short)
Shuffled,89.0,[ 5  9 13],"[0.5416296669525942, 0.6509446663853263, 0.723832285039361]",[0.54237594 0.64861991 0.7254271 ],$\tau$,dfa (short)
Trace,91.0,[ 5  9 13],"[0.33071728863431, 0.5933298308572238, 0.7565392217324028]",[0.33706843 0.56471586 0.77989559],$\tau$,dfa (short)
Shuffled,91.0,[ 5  9 13],"[0.3937191646855622, 0.703823946708348, 1.0067443453076006]",[0.39405279 0.70227658 1.00810831],$\tau$,dfa (short)
Trace,92.0,[ 5  9 13],"[0.4600794336599629, 0.7637787555834138, 0.9439135143852728]",[0.46765815 0.73203163 0.96888949],$\tau$,dfa (short)
Shuffled,92.0,[ 5  9 13],"[0.48625046202310085, 0.6711403709375615, 0.7529992583835997]",[0.49281885 0.648144   0.76932372],$\tau$,dfa (short)
Trace,96.0,[ 5  9 13],"[0.5148127152658872, 0.6411585272393073, 0.7509593942909735]",[0.51315711 0.64654749 0.7471028 ],$\tau$,dfa (short)
Shuffled,96.0,[ 5  9 13],"[0.4395382679888447, 0.5937766162837121, 0.7182415508035739]",[0.43939289 0.59428722 0.71786188],$\tau$,dfa (short)
Trace,97.0,[ 5  9 13 17],"[0.44112897066839846, 0.7049013216611184, 0.746522486399537, 0.7892290017445842]",[0.47117745 0.62274146 0.74145301 0.8421005 ],$\tau$,dfa (short)
Shuffled,97.0,[ 5  9 13 17],"[0.47066885222632143, 0.6033541435738292, 0.6871223404922729, 0.7508230492234175]",[0.47469628 0.59452689 0.68442893 0.75847931],$\tau$,dfa (short)
Trace,98.0,[ 5  9 13],"[0.5371303524166321, 0.675243138221036, 0.7195756947823001]",[0.54379969 0.65393481 0.73391024],$\tau$,dfa (short)
Shuffled,98.0,[ 5  9 13],"[0.5405875546551434, 0.7169084818749737, 0.7801384116017452]",[0.54836271 0.69079394 0.79815087],$\tau$,dfa (short)
Trace,103.0,[ 5  9 13],"[0.3751175581560373, 0.7180286522130319, 0.8876449148539246]",[0.38658259 0.66399897 0.93140537],$\tau$,dfa (short)
Shuffled,103.0,[ 5  9 13],"[0.44511405079120425, 0.6078076653935883, 0.7894012683606327]",[0.44054566 0.62432133 0.77649059],$\tau$,dfa (short)
Trace,106.0,[ 5  9 13],"[0.42248294518160173, 0.6061622558044437, 0.7119009839997386]",[0.42676682 0.59047825 0.7234743 ],$\tau$,dfa (short)
Shuffled,106.0,[ 5  9 13],"[0.42761750065789295, 0.7159109706962375, 0.9012472079435399]",[0.43377377 0.68980821 0.92207611],$\tau$,dfa (short)
