dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Shuffled,13.0,[ 5  7  9 11 13 15 17 19 21 23 25 27],"[0.04568750173497422, 0.06038714300603222, 0.07492476892396206, 0.08571810187883402, 0.09491754259953218, 0.10513286881244453, 0.11427003644855468, 0.12173333734264517, 0.12750233693821683, 0.13328577603105216, 0.1369623505319723, 0.1394811299204325]","[0.04898673 0.06122336 0.07231808 0.082604   0.09227418 0.10145313
 0.11022704 0.11865869 0.12679559 0.1346748  0.14232594 0.14977312]",$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,13.0,[ 5  7  9 11 13 15 17 19 21 23 25 27],"[0.09124943489012044, 0.10810656121772418, 0.12387173978501775, 0.14149473372265498, 0.1540391343298283, 0.16824932736386877, 0.18099374039481522, 0.18876026389980305, 0.19394371098061536, 0.19672362954972614, 0.19754913040644914, 0.199007246500417]","[0.09411188 0.11097835 0.12551984 0.13848752 0.15029898 0.16121472
 0.17141019 0.18101017 0.19010718 0.19877204 0.20706039 0.21501692]",$f_n e^{\phi_{n}}$,mean (short)
Trace,14.0,[ 5  7  9 11 13 15 17 19 21 23],"[0.05815667176384608, 0.06823417656335883, 0.08696175609472512, 0.09325252434138936, 0.10050849695547727, 0.10889265328620631, 0.11104323203730715, 0.11653157480471293, 0.12369864087419806, 0.12603094671409248]","[0.0602752  0.07151871 0.0812645  0.08999156 0.09796734 0.1053593
 0.11228052 0.11881165 0.12501263 0.1309294 ]",$f_n e^{\phi_{n}}$,dfa (short)
Trace,14.0,[ 5  7  9 11 13 15 17 19 21 23],"[0.07313679185631197, 0.08841740086530728, 0.10313384832317844, 0.10391350058372557, 0.11048543899904115, 0.11790067433956566, 0.11937164786823788, 0.12556068589098526, 0.13153420771933352, 0.1325627124168139]","[0.07728327 0.08752662 0.0960537  0.10345514 0.11004986 0.11603228
 0.12153082 0.12663535 0.13141153 0.13590899]",$f_n e^{\phi_{n}}$,mean (short)
Shuffled,14.0,[ 5  7  9 11 13 15 17 19 21 23],"[0.06382452790054377, 0.07992591339740641, 0.09698748847350012, 0.11197157573631446, 0.1251218089570645, 0.13693555365336446, 0.1462672611187779, 0.1570920211437142, 0.1664762538629113, 0.1754256204981276]","[0.06486753 0.08114578 0.09591674 0.10961933 0.12250811 0.13474733
 0.14645076 0.15770128 0.16856165 0.17908083]",$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,14.0,[ 5  7  9 11 13 15 17 19 21 23],"[0.1188206133547495, 0.14971743793097933, 0.18072028659032377, 0.2045015065338159, 0.23387272747553495, 0.26245377899987143, 0.2861307720888421, 0.3139217665669278, 0.3364758539572098, 0.35345485802034565]","[0.11765952 0.15021856 0.18028855 0.20856608 0.23546113 0.2612413
 0.28609371 0.31015588 0.33353265 0.35630639]",$f_n e^{\phi_{n}}$,mean (short)
Trace,15.0,[ 5  7  9 11 13 15 17 19 21 23],"[0.037571849336601335, 0.05013040430580946, 0.05469480866383695, 0.05639399878695821, 0.0606132528494331, 0.06250254286813016, 0.06362080001993031, 0.06723630569554769, 0.0694095497557474, 0.07058004450101393]","[0.04154207 0.04699758 0.05153478 0.0554702  0.05897462 0.06215209
 0.0650713  0.06778031 0.0703142  0.0726995 ]",$f_n e^{\phi_{n}}$,dfa (short)
Trace,15.0,[ 5  7  9 11 13 15 17 19 21 23],"[0.05119126887765657, 0.06075523333590744, 0.06387315983705191, 0.06569130912825785, 0.06933255284871068, 0.0720320991524603, 0.07354228308418143, 0.0761783787704366, 0.07853674988388162, 0.07981130875823984]","[0.05336567 0.05843108 0.06252571 0.06600029 0.06903963 0.07175423
 0.07421592 0.07647427 0.07856506 0.08051506]",$f_n e^{\phi_{n}}$,mean (short)
Shuffled,15.0,[ 5  7  9 11 13 15 17 19 21 23],"[0.03996311968849225, 0.04812038962350461, 0.053827711431346834, 0.06304691500009744, 0.06932187917353298, 0.07366162655906701, 0.0794473525731614, 0.08542608288655179, 0.08927513404157879, 0.09444286949168146]","[0.03970046 0.04806753 0.05544819 0.06214724 0.06833736 0.07412792
 0.07959351 0.08478775 0.08975076 0.09451354]",$f_n e^{\phi_{n}}$,dfa (short)
Shuffled,15.0,[ 5  7  9 11 13 15 17 19 21 23],"[0.06176568840330797, 0.0770078426060223, 0.08698648703693312, 0.0995148368476254, 0.1101679311905597, 0.11864097952261721, 0.12695245188883372, 0.13453323112501822, 0.142510864077751, 0.14908454695576745]","[0.06266913 0.07605278 0.0878823  0.09863597 0.10858522 0.11790218
 0.12670436 0.13507633 0.14308143 0.1507686 ]",$f_n e^{\phi_{n}}$,mean (short)
