dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
Trace,16.0,[ 5  9 13 17 21 25 29 33],"[0.4445342664123702, 0.6351211004806343, 0.7366870587621217, 0.8196134850586322, 0.8655680907330421, 0.8907611443465168, 0.9250975869994125, 0.937547637215]","[0.48269355 0.60582459 0.69835965 0.77466561 0.84059741 0.89920318
 0.95230053 1.00107266]",$\phi$,dfa (short)
Shuffled,16.0,[ 5  9 13 17 21 25 29 33],"[0.423454958199769, 0.6834183353918615, 0.862844738399071, 1.0809210104874563, 1.3028324871241654, 1.480184539649406, 1.6392773856581189, 1.7680836789906567]","[0.4266585  0.66853528 0.88541244 1.08683359 1.27726577 1.45927306
 1.63450571 1.80410779]",$\phi$,dfa (short)
Trace,17.0,[ 5  9 13],"[0.4794492931538884, 0.5815372136651695, 0.639200789406698]",[0.481403   0.57542454 0.64336929],$\phi$,dfa (short)
Shuffled,17.0,[ 5  9 13],"[0.4119272077948486, 0.5878117388672741, 0.6272506068389542]",[0.42211289 0.55166271 0.65222521],$\phi$,dfa (short)
Trace,18.0,[ 5  9 13],"[0.4258255431447261, 0.643732207517572, 0.7631864282377263]",[0.43169792 0.6212252  0.78007896],$\phi$,dfa (short)
Shuffled,18.0,[ 5  9 13],"[0.5802251795824301, 0.6553940375888401, 0.6740135896134948]",[0.5845785  0.64278724 0.68211504],$\phi$,dfa (short)
Trace,45.0,[ 5  9 13 17],"[0.4401118793637653, 0.7228814298082781, 0.8753483557845888, 1.0049002107456297]",[0.45572608 0.67797789 0.86924143 1.04201553],$\phi$,dfa (short)
Shuffled,45.0,[ 5  9 13 17],"[0.5718687576906497, 0.7307663018096751, 0.848822545955954, 0.9118612793257225]",[0.57651545 0.72430588 0.83546221 0.92717303],$\phi$,dfa (short)
Trace,46.0,[ 5  9 13 17],"[0.494684823942466, 0.5985110781791375, 0.7514287478933214, 0.8065463728323059]",[0.48798411 0.62327438 0.72638191 0.8122093 ],$\phi$,dfa (short)
Shuffled,46.0,[ 5  9 13 17],"[0.4871935080278293, 0.6290996532533745, 0.7731406452745281, 0.8432520175122155]",[0.48645077 0.63737928 0.75477733 0.85384915],$\phi$,dfa (short)
Trace,47.0,[ 5  9 13],"[0.44251251680015513, 0.6135650187166697, 0.6860262960302047]",[0.44892924 0.59103644 0.70199619],$\phi$,dfa (short)
Shuffled,47.0,[ 5  9 13],"[0.4486032655147303, 0.6283204578607912, 0.7214065460542151]",[0.45368426 0.61019899 0.73451135],$\phi$,dfa (short)
Trace,48.0,[ 5  9 13],"[0.5127391358833053, 0.6826450431394923, 0.7409661958940946]",[0.52051667 0.65645638 0.75901313],$\phi$,dfa (short)
Shuffled,48.0,[ 5  9 13],"[0.6219823913771236, 0.708363434527838, 0.7760004071466526]",[0.62103414 0.71117734 0.77411021],$\phi$,dfa (short)
Trace,15.0,[ 5  9 13 17 21 25 29 33],"[0.43357996601270954, 0.7832872969538862, 0.948699089511517, 1.1007156605881712, 1.2639718377701918, 1.4451002815488665, 1.5942232646844972, 1.727799861202036]","[0.46911397 0.70854454 0.91707903 1.1069865  1.28388072 1.45093263
 1.61015745 1.76293786]",$f$,dfa (short)
