timeA	lengthA	cellareaA	meanfluorescenceA	fluorescenceA
8.2	2.771769457	2.046875	25347.9084	51884
8.25	2.826357653	2.046875	27053.92366	55376
8.3	2.960872326	2.140625	25381.37226	54332
8.35	2.927444099	2.140625	27122.91971	58060
8.4	3.124512963	2.203125	27771.46099	61184
8.45	3.122128995	2.203125	26188.25532	57696
8.5	3.169100473	2.21875	28657.57746	63584
8.55	3.416244681	2.515625	26727.35404	67236
8.6	3.425085557	2.546875	28544.78528	72700
8.65	3.455370264	2.421875	29994.94194	72644
8.7	3.580995252	2.5625	30064.39024	77040
8.75	3.671406624	2.8125	26370.84444	74168
8.8	3.796231548	2.875	30166.26087	86728
8.85	3.888615253	2.71875	29145.74713	79240
8.9	4.001426385	2.90625	30852.12903	89664
8.95	4.173461345	3.046875	30664.86154	93432
9	4.211603608	3.015625	29877.72021	90100
9.05	4.504646297	3.109375	31549.74874	98100
9.1	4.753584785	3.203125	31205.77561	99956
9.15	4.888497242	3.234375	30979.71014	100200
9.2	2.140371341	1.5625	32273.92	50428
9.25	2.119392836	1.578125	31941.70297	50408
9.3	2.171530039	1.59375	32112.94118	51180
9.35	2.238555584	1.6875	32189.62963	54320
9.4	2.23879382	1.859375	24285.57983	45156
9.45	2.378952216	1.796875	32053.42609	57596
9.5	2.369088473	1.78125	31445.33333	56012
9.55	2.473222098	1.96875	31431.11111	61880
9.6	2.551456738	1.953125	31938.56	62380
9.65	2.594204797	1.953125	31760.384	62032
9.7	2.622397705	1.984375	32378.96063	64252
9.75	2.541405668	1.9375	33290.32258	64500
9.8	2.754383334	2.0625	32859.15152	67772
9.85	2.737354663	2.171875	32237.58273	70016
9.9	2.837348234	2.1875	32543.08571	71188
9.95	2.911982118	2.375	30302.31579	71968
10	3.011952891	2.25	33333.33333	75000
10.05	3.020750026	2.390625	32373.12418	77392
10.1	3.088736749	2.421875	32731.66452	79272
10.15	3.2240302	2.46875	33129.31646	81788
10.2	3.385757133	2.59375	33748.81928	87536
10.25	3.399978189	2.59375	34316.33735	89008
10.3	3.51113733	2.703125	34752.36994	93940
10.35	3.527148768	2.609375	35288.14371	92080
10.4	3.626124041	2.765625	35323.66102	97692
10.45	3.850497786	2.859375	34471.86885	98568
10.5	3.962068146	2.921875	35459.42246	103608
10.55	4.100846646	3.203125	31175.80488	99860
10.6	4.429767969	3.09375	34806.94949	107684
10.65	4.621155329	3.1875	34674.19608	110524
10.7	4.858901617	3.234375	33381.41063	107968
10.75	5.024078674	3.328125	33763.15493	112368
