dataset,lineage_ID,slope,intercept,std_err,variable,kind
Shuffled,23.0,0.40468219546039186,-1.3078616428873828,0.018457535917374715,$r$,dfa (short)
Trace,24.0,0.46335186278759516,-1.4719983138182924,0.1551535087597992,$r$,dfa (short)
Shuffled,24.0,0.6598273605533368,-1.8892754166738213,0.008912497104529446,$r$,dfa (short)
Trace,26.0,0.47073367992703136,-1.429119531947016,0.0264256916261171,$r$,dfa (short)
Shuffled,26.0,0.5216660866425422,-1.5013252847518024,0.02592040759876172,$r$,dfa (short)
Trace,27.0,0.3188383785018657,-1.4360970964918447,0.015557740018649372,$r$,dfa (short)
Shuffled,27.0,0.47268422300268664,-1.4512822420474507,0.03245934405007896,$r$,dfa (short)
Trace,29.0,0.3416310266393839,-1.2219200885385606,0.038735856256260345,$r$,dfa (short)
Shuffled,29.0,0.7089367508915987,-1.9503026985605818,0.05755348565040994,$r$,dfa (short)
Trace,30.0,0.34924376164787746,-1.164263005808388,0.06181447610997141,$r$,dfa (short)
Shuffled,30.0,0.6250682966376556,-1.8499432824466786,0.03756308224414951,$r$,dfa (short)
Trace,32.0,0.3010091383491492,-1.2182907155094709,0.013421551186255301,$r$,dfa (short)
Shuffled,32.0,0.43078994524226477,-1.2746585466191662,0.006462623162290824,$r$,dfa (short)
Trace,35.0,0.2892210707624263,-1.1173979100147073,0.020832645167625383,$r$,dfa (short)
Shuffled,35.0,0.6530675347332369,-1.8798201266926509,0.011109372514106335,$r$,dfa (short)
Trace,36.0,0.27509094157208264,-1.0423115717156248,0.015639538628353856,$r$,dfa (short)
Shuffled,36.0,0.5054427164935381,-1.4189320520111905,0.013977406165775932,$r$,dfa (short)
Trace,40.0,0.10641378400274304,-0.7353238251702962,0.02194832727300986,$r$,dfa (short)
Shuffled,40.0,0.4079142837788931,-1.3016873085299554,0.0464249460856247,$r$,dfa (short)
Trace,42.0,0.6816226494698141,-2.152792911893915,0.0264300831114072,$r$,dfa (short)
Shuffled,42.0,0.5862328106710537,-1.9212461031723906,0.043085970347378835,$r$,dfa (short)
Trace,43.0,0.48524384207822785,-1.5856788197430205,0.011380249158698438,$r$,dfa (short)
Shuffled,43.0,0.44252631886185356,-1.3758222591453884,0.06001339396797059,$r$,dfa (short)
Trace,46.0,0.7363569400844132,-2.0015409026239768,0.21570382785091274,$r$,dfa (short)
Shuffled,46.0,0.27979419804887357,-1.0884331061651626,0.024160513358956234,$r$,dfa (short)
Trace,52.0,0.2695896134704136,-1.1561638839224098,0.037306451767415656,$r$,dfa (short)
Shuffled,52.0,0.5883313339085023,-1.753645379411703,0.02693252270410673,$r$,dfa (short)
Trace,53.0,0.3343766398685368,-1.1892313024004282,0.03564042489187327,$r$,dfa (short)
Shuffled,53.0,0.5349392636818149,-1.7234185697714097,0.10059136814712029,$r$,dfa (short)
Trace,55.0,0.42576771406215463,-1.5086290098521276,0.07808463544414575,$r$,dfa (short)
Shuffled,55.0,0.8251255461290102,-2.2448773010302108,0.05825276548556777,$r$,dfa (short)
Trace,56.0,0.7304927358295177,-2.345501419583621,0.07875206159748108,$r$,dfa (short)
Shuffled,56.0,1.1641653727562586,-2.9392651479096736,0.2166279198091712,$r$,dfa (short)
Trace,57.0,0.29408768907352767,-1.1377798645156607,0.08748605081190992,$r$,dfa (short)
Shuffled,57.0,0.18648968501791444,-0.9127666285872649,0.0020390241325103447,$r$,dfa (short)
Trace,58.0,0.3360601777059882,-1.2036811870610968,0.00808100299314831,$r$,dfa (short)
Shuffled,58.0,0.44649626175994106,-1.3397798666673149,0.04622387487423711,$r$,dfa (short)
Trace,61.0,0.36032979718490893,-1.2930347509158095,0.034839727330802546,$r$,dfa (short)
Shuffled,61.0,0.5438013977616375,-1.4978911280199967,0.016254091119867198,$r$,dfa (short)
Trace,63.0,0.40091937474453404,-1.8605325070185668,0.029323229891573516,$r$,dfa (short)
Shuffled,63.0,0.5303970289473721,-1.585635919754907,0.027362788816419518,$r$,dfa (short)
Trace,65.0,0.38961106424948555,-1.3997255100300507,0.03906732451043715,$r$,dfa (short)
Shuffled,65.0,0.5210240678811839,-1.5287066175309496,0.03330249079784558,$r$,dfa (short)
Trace,67.0,0.22977054993178708,-0.9846074349530451,0.01843895300058309,$r$,dfa (short)
Shuffled,67.0,0.4594127075654538,-1.3432924994115782,0.012163095345566376,$r$,dfa (short)
Trace,71.0,0.47503433114872085,-1.5695046329583917,0.0067507831857845264,$r$,dfa (short)
Shuffled,71.0,0.4574667063458207,-1.4128911900356664,0.023204302639527406,$r$,dfa (short)
