dataset,lineage_ID,window_sizes,y_to_regress,best_fit_line,variable,kind
White Noise,4.0,[ 5  7  9 11 13 15 17],"[0.9571200136472882, 1.1742827465088392, 1.272796953364206, 1.3947665504179245, 1.5193107291181667, 1.5849698478005456, 1.6406974564491819]","[0.98381183 1.13949731 1.27164853 1.38809092 1.49311896 1.58938436
 1.6786577 ]",$\phi$,mean (short)
Trace,5.0,"[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39 41 43 45 47 49 51
 53 55 57 59 61 63 65 67 69 71 73 75 77 79 81 83 85 87 89 91 93]","[0.10186811698548005, 0.12095270667837064, 0.13178122774842035, 0.14264571643726873, 0.15284987334559433, 0.16224361581378283, 0.17072097844316442, 0.1795967301378035, 0.1873624552772016, 0.19408250543923072, 0.2020672359160474, 0.20905174946574037, 0.215849057283628, 0.22354795235132313, 0.230518646526898, 0.23638903803017222, 0.24284099419075308, 0.24852205200738745, 0.25304005114857764, 0.2581714465847367, 0.262481331924762, 0.2662408778259546, 0.27042441213682056, 0.27371582073131673, 0.2761314280765847, 0.27868826485743275, 0.28097244158038015, 0.28261528431184885, 0.284668302032127, 0.28661885577408713, 0.2880655878129343, 0.28983061092573154, 0.29167415512096767, 0.2931718878902421, 0.2949497304495171, 0.29673978251798633, 0.2983162596925218, 0.3002522077177916, 0.30220226872765227, 0.3040936565901048, 0.30640574858258063, 0.30851624451016124, 0.31069497843691796, 0.31305187417781183, 0.31537277622735965]","[0.10831961 0.12315923 0.1355547  0.14634219 0.1559745  0.16472827
 0.17278661 0.18027782 0.1872958  0.1939116  0.20018048 0.20614634
 0.21184477 0.21730503 0.22255154 0.2276049  0.23248267 0.23719999
 0.24176996 0.24620407 0.25051239 0.25470386 0.25878642 0.26276719
 0.26665255 0.27044825 0.27415953 0.27779113 0.28134736 0.28483221
 0.28824928 0.29160194 0.29489327 0.29812611 0.30130311 0.30442673
 0.30749925 0.31052281 0.31349939 0.31643086 0.31931896 0.32216534
 0.32497153 0.327739   0.33046909]",$\phi$,dfa (short)
Trace,5.0,"[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39 41 43 45 47 49 51
 53 55 57 59 61 63 65 67 69 71 73 75 77 79 81 83 85 87 89 91 93]","[0.13999325326432469, 0.16369743313825633, 0.18137169090079577, 0.19521763352089297, 0.21148590093184522, 0.22462513355722774, 0.23423330581749052, 0.24602228516279062, 0.2552199417868306, 0.2631265771410231, 0.2726883418431763, 0.2800512081001583, 0.2859971510520943, 0.2931145146167037, 0.2979968822277382, 0.3018536273116449, 0.30694809511772175, 0.3106045594143799, 0.3137604869371228, 0.3179363170713999, 0.32126192788155356, 0.3243866584043089, 0.328537592110607, 0.33191991048788727, 0.33493222805491624, 0.3387601940999751, 0.34212838635304454, 0.3452699746848651, 0.3493946858217461, 0.3529870742528921, 0.35637909470931084, 0.3603419328766235, 0.36382704697895935, 0.3671743963459825, 0.3710294887580893, 0.3743482207794342, 0.3775344913969205, 0.3813338557696706, 0.3845315821926144, 0.38764559330471565, 0.39134800561108585, 0.3942727790830582, 0.3972261921106862, 0.4004919528994982, 0.4032734467030657]","[0.1525715  0.17084893 0.18591505 0.19889357 0.21038634 0.22075786
 0.23024763 0.23902246 0.24720373 0.25488288 0.26213066 0.26900311
 0.27554546 0.28179479 0.28778193 0.29353281 0.29906952 0.30441098
 0.30957358 0.31457163 0.31941767 0.32412279 0.32869682 0.33314855
 0.33748587 0.34171587 0.34584497 0.349879   0.35382325 0.35768257
 0.36146142 0.36516385 0.36879364 0.37235425 0.37584889 0.37928055
 0.382652   0.38596582 0.38922441 0.39243002 0.39558477 0.39869063
 0.40174945 0.40476298 0.40773287]",$\phi$,mean (short)
Artificial,5.0,"[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39 41 43 45 47 49 51
 53 55 57 59 61 63 65 67 69 71 73 75 77 79 81 83 85 87 89 91 93]","[0.08863572564159167, 0.11160836326584658, 0.1326135351490366, 0.1487814418383076, 0.16606048008558003, 0.18178734865614446, 0.19429164657311404, 0.20774908961804345, 0.220184342292458, 0.2286970756780271, 0.23780739558768738, 0.24652416367590607, 0.2533016758712675, 0.2609098574195063, 0.26673829183035586, 0.27180709540405507, 0.2762951547650208, 0.27910316282755937, 0.28141857767850115, 0.2832210525972046, 0.28430745188147655, 0.2854448828401706, 0.28673448072690266, 0.2880266612827243, 0.2895411661022123, 0.2909541178403826, 0.2922783557514176, 0.2936990464374637, 0.295340759764809, 0.2969181970609074, 0.2986398330414208, 0.3003196593557779, 0.3017916773568831, 0.3034034145343178, 0.3050986587191842, 0.3067439706596737, 0.3085814692180467, 0.31071256919950735, 0.3128817478158867, 0.3151939737106781, 0.31781383148713405, 0.3203599980537141, 0.32277840528195656, 0.32555643166425435, 0.32803620281291074]","[0.1161159  0.13197905 0.14522558 0.15675112 0.16704056 0.17639007
 0.18499566 0.19299466 0.20048756 0.2075504  0.21424227 0.22061018
 0.22669218 0.23251958 0.23811848 0.24351093 0.24871572 0.25374902
 0.25862487 0.26335551 0.26795174 0.27242312 0.27677812 0.28102437
 0.28516868 0.28921721 0.29317555 0.29704875 0.30084147 0.30455791
 0.30820197 0.31177722 0.31528696 0.31873424 0.32212188 0.3254525
 0.32872856 0.33195231 0.33512591 0.33825133 0.34133043 0.34436499
 0.34735663 0.35030691 0.3532173 ]",$\phi$,dfa (short)
Artificial,5.0,"[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39 41 43 45 47 49 51
 53 55 57 59 61 63 65 67 69 71 73 75 77 79 81 83 85 87 89 91 93]","[0.14380641887983237, 0.1745253614601115, 0.20177738671266612, 0.22298661175408369, 0.24333488214104043, 0.2616496994936982, 0.278168394312032, 0.29318466481857003, 0.3069693463783315, 0.31799153357259047, 0.3270332405191911, 0.3351119115751261, 0.34241393267330456, 0.3493053772715787, 0.3560111741784358, 0.3626384230478509, 0.36881115069983866, 0.37522314291521247, 0.38153045031462346, 0.38779209101701334, 0.39420987238817506, 0.4005256293012352, 0.40674449128205137, 0.41278940675533604, 0.41871723454768317, 0.42360956848720066, 0.4284165776338127, 0.43302485643123506, 0.43688058697583265, 0.4410041859508968, 0.4451951701314747, 0.4490579036642239, 0.45343587686253606, 0.45782132697766964, 0.46183101953990646, 0.4663167196140591, 0.470813433840889, 0.47485012771821616, 0.4792579557978886, 0.48369024207689265, 0.4874287677461477, 0.4913179261011338, 0.4947337877398561, 0.49770329527615476, 0.5010932425156627]","[0.16553629 0.18874301 0.20817475 0.22511752 0.24026912 0.25405657
 0.26676285 0.27858653 0.28967304 0.30013255 0.31005076 0.31949588
 0.32852317 0.33717814 0.34549877 0.35351713 0.36126058 0.36875267
 0.37601386 0.38306204 0.38991293 0.39658048 0.4030771  0.40941388
 0.4156008  0.42164687 0.42756025 0.43334836 0.43901797 0.44457527
 0.45002594 0.45537524 0.46062797 0.46578862 0.47086133 0.47584994
 0.48075803 0.48558895 0.49034581 0.49503155 0.4996489  0.50420044
 0.50868857 0.51311559 0.51748364]",$\phi$,mean (short)
White Noise,5.0,"[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39 41 43 45 47 49 51
 53 55 57 59 61 63 65 67 69 71 73 75 77 79 81 83 85 87 89 91 93]","[0.49634120554004457, 0.6358296358312352, 0.734536828720823, 0.83066840021792, 0.8998418444438748, 0.9589131856314389, 1.0244759980080174, 1.074298297983342, 1.1147705307670361, 1.1588861660676217, 1.1892812574826894, 1.2103623663082361, 1.2363177562907568, 1.2581502567610297, 1.2731367028696656, 1.2918507665950165, 1.3093056205558335, 1.3202398930373145, 1.333732414876194, 1.3467776145105192, 1.352251351713251, 1.360153949049556, 1.3684510310885767, 1.3727797754690243, 1.381342129034896, 1.3911327031619976, 1.3971116415248057, 1.4076202684341568, 1.4185406853137574, 1.425230367171388, 1.4357596777970996, 1.4466106094062436, 1.453585839303443, 1.4641112422941938, 1.4747898319881911, 1.4822336377723042, 1.4927026010873, 1.5035548103283785, 1.5112291455196187, 1.5220412222463466, 1.532918546746388, 1.540791543988817, 1.5511833746184303, 1.5616220313879938, 1.569522702227552]","[0.64807008 0.72178633 0.78226535 0.8341756  0.88000768 0.92126534
 0.95893407 0.99369876 1.02605683 1.05638227 1.08496411 1.1120309
 1.13776684 1.16232278 1.18582403 1.20837591 1.23006789 1.25097672
 1.27116876 1.29070182 1.30962662 1.32798793 1.34582547 1.36317468
 1.38006733 1.39653199 1.4125945  1.42827829 1.4436047  1.45859319
 1.47326159 1.4876263  1.50170237 1.51550374 1.52904328 1.54233294
 1.55538381 1.56820621 1.58080979 1.59320355 1.60539591 1.61739477
 1.62920754 1.64084121 1.65230232]",$\phi$,dfa (short)
White Noise,5.0,"[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 39 41 43 45 47 49 51
 53 55 57 59 61 63 65 67 69 71 73 75 77 79 81 83 85 87 89 91 93]","[0.8144060526945184, 0.9543778166753258, 1.0486173138981323, 1.1323542058442386, 1.1991253216789388, 1.2409302058360674, 1.2847206185944748, 1.3228206748807794, 1.3451098874216048, 1.3735221855399407, 1.402716407951941, 1.421347668108357, 1.4443458976892074, 1.4677990462268526, 1.4807676205072855, 1.4947937304806906, 1.5085350256859351, 1.5176654837217354, 1.5307958010407043, 1.5447958332682443, 1.5541679101142787, 1.5661682332939135, 1.5779947704457096, 1.5872893106469776, 1.5990355178041984, 1.610381165351232, 1.6197399852224137, 1.6311878637485429, 1.642367302097766, 1.651421047111969, 1.6613571967705916, 1.6707737835799303, 1.6793052031922457, 1.6880184540343977, 1.695712655287455, 1.7031787643071237, 1.7098590450098334, 1.7162363423744782, 1.7219149910152607, 1.7270473136537858, 1.7312931446655064, 1.7346992037803222, 1.7376256409289654, 1.7402936360531769, 1.7424842416002424]","[0.94166617 1.01521217 1.07386769 1.12312729 1.165854   1.20374452
 1.23789369 1.2690523  1.29775937 1.32441592 1.34932905 1.37273951
 1.39483981 1.4157865  1.43570871 1.45471434 1.47289448 1.49032685
 1.50707828 1.52320674 1.53876281 1.55379094 1.56833042 1.58241614
 1.59607926 1.6093477  1.62224662 1.63479874 1.6470247  1.65894325
 1.67057152 1.6819252  1.69301868 1.70386522 1.71447705 1.72486547
 1.73504096 1.74501324 1.75479137 1.76438379 1.77379837 1.78304248
 1.79212303 1.80104648 1.80981892]",$\phi$,mean (short)
Trace,6.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33 35 37],"[0.08753610397480918, 0.11476408430650002, 0.12523379730728348, 0.1297681066009539, 0.13727295016797403, 0.14427467780614658, 0.1486565153534668, 0.153074422215013, 0.15783682666924617, 0.16093835533718162, 0.16314810440635202, 0.1655027029551113, 0.16746027805560312, 0.1700785040001717, 0.17330070896629826, 0.17590891673317965, 0.17846975595716752]","[0.09967149 0.11045693 0.11926736 0.1268043  0.13344067 0.13940099
 0.14483204 0.14983562 0.15448555 0.15883722 0.1629334  0.16680785
 0.17048775 0.17399533 0.17734905 0.1805644  0.18365453]",$\phi$,dfa (short)
Trace,6.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33 35 37],"[0.13040021129261614, 0.14393253423054134, 0.15614919157734414, 0.16564896925995867, 0.17464562673351117, 0.181699369587738, 0.18886941639173385, 0.19497595613619245, 0.2007102767147587, 0.20751213166773888, 0.2112461116558258, 0.2143797966916204, 0.21847159586096596, 0.2201127638918637, 0.22259062892457415, 0.2251615251842931, 0.22690457170513148]","[0.13239576 0.14557926 0.15627561 0.16537806 0.17335876 0.18050069
 0.18698819 0.19294869 0.19847432 0.20363406 0.20848103 0.2130571
 0.2173959  0.2215249  0.22546685 0.22924084 0.23286303]",$\phi$,mean (short)
Artificial,6.0,[ 5  7  9 11 13 15 17 19 21 23 25 27 29 31 33 35 37],"[0.14325105111337574, 0.15449383551058324, 0.1915259074799948, 0.21570145814642325, 0.2235764131747587, 0.23743095436312298, 0.24759289644585497, 0.250123614591747, 0.26012037989136005, 0.2678174613877258, 0.2719841673767676, 0.2809165955357824, 0.288800277209246, 0.29418939407426864, 0.30331840650125247, 0.31059387385065695, 0.3161327476426058]","[0.14855968 0.16914558 0.18636154 0.20135805 0.21475874 0.22694494
 0.23816918 0.24860854 0.25839268 0.26761974 0.27636607 0.28469237
 0.29264785 0.30027299 0.30760156 0.3146621  0.32147891]",$\phi$,dfa (short)
