value,variable,lineage_ID,kind
0.17343399837913254,division_ratio,1.0,Trace
0.34965566438215445,division_ratio,2.0,Trace
0.1882668460075585,division_ratio,2.0,Trace
1.0577207291691477,division_ratio,3.0,Trace
0.3961220724475303,division_ratio,3.0,Trace
0.25766634657427034,division_ratio,4.0,Trace
0.15591669685374476,division_ratio,4.0,Trace
0.06025773686138369,division_ratio,5.0,Trace
0.044753962994212415,division_ratio,5.0,Trace
0.2875716174634959,division_ratio,6.0,Trace
0.15723182982574535,division_ratio,6.0,Trace
0.6539322879990708,division_ratio,7.0,Trace
2.8687809345817663,division_ratio,7.0,Trace
0.24278380526505527,division_ratio,8.0,Trace
0.18108407444598495,division_ratio,8.0,Trace
0.2602856486138607,division_ratio,9.0,Trace
0.1895569113013571,division_ratio,9.0,Trace
